DATE,WFII10
2012-04-13,-0.23
2012-04-20,-0.25
2012-04-27,-0.27
2012-05-04,-0.29
2012-05-11,-0.27
2012-05-18,-0.35
2012-05-25,-0.39
2012-06-01,-0.48
2012-06-08,-0.52
2012-06-15,-0.51
2012-06-22,-0.49
2012-06-29,-0.46
2012-07-06,-0.51
2012-07-13,-0.58
2012-07-20,-0.62
2012-07-27,-0.66
2012-08-03,-0.67
2012-08-10,-0.62
2012-08-17,-0.48
2012-08-24,-0.53
2012-08-31,-0.65
2012-09-07,-0.67
2012-09-14,-0.69
2012-09-21,-0.73
2012-09-28,-0.76
2012-10-05,-0.82
2012-10-12,-0.79
2012-10-19,-0.70
2012-10-26,-0.68
2012-11-02,-0.75
2012-11-09,-0.79
2012-11-16,-0.82
2012-11-23,-0.74
2012-11-30,-0.76
2012-12-07,-0.84
2012-12-14,-0.79
2012-12-21,-0.69
2012-12-28,-0.72
2013-01-04,-0.60
2013-01-11,-0.62
2013-01-18,-0.65
2013-01-25,-0.63
2013-02-01,-0.55
2013-02-08,-0.57
2013-02-15,-0.56
2013-02-22,-0.54
2013-03-01,-0.63
2013-03-08,-0.59
2013-03-15,-0.52
2013-03-22,-0.59
2013-03-29,-0.62
2013-04-05,-0.67
2013-04-12,-0.66
2013-04-19,-0.62
2013-04-26,-0.65
2013-05-03,-0.62
2013-05-10,-0.49
2013-05-17,-0.37
2013-05-24,-0.28
2013-05-31,-0.09
2013-06-07,-0.04
2013-06-14,0.14
2013-06-21,0.33
2013-06-28,0.58
2013-07-05,0.52
2013-07-12,0.58
2013-07-19,0.39
2013-07-26,0.38
2013-08-02,0.44
2013-08-09,0.37
2013-08-16,0.53
2013-08-23,0.73
2013-08-30,0.63
2013-09-06,0.85
2013-09-13,0.82
2013-09-20,0.60
2013-09-27,0.46
2013-10-04,0.45
2013-10-11,0.48
2013-10-18,0.48
2013-10-25,0.37
2013-11-01,0.39
2013-11-08,0.52
2013-11-15,0.56
2013-11-22,0.56
2013-11-29,0.57
2013-12-06,0.71
2013-12-13,0.72
2013-12-20,0.72
